Date,DailyMeanLevel,ReservoirEffectiveStorage,DailyMeanRainfall,Inflow,Outflow,Netflow,NanshiFlow,TotalRawWaterVolumeOfNanshiAndBeishi
2015/7/1,159.3,242.672,0,"547,280","1,592,280","-1,045,000","1,398,960","2,991,240"
2015/7/2,159.16,241.598,12.2,"590,904","1,634,904","-1,044,000","1,300,320","2,935,224"
2015/7/3,159.04,240.569,5.3,"487,156","1,608,156","-1,121,000","1,243,440","2,851,596"
2015/7/4,158.91,239.546,16,"811,712","1,610,712","-799,000","1,270,800","2,881,512"
2015/7/5,158.8,238.701,1.1,"575,396","1,611,396","-1,036,000","1,204,920","2,816,316"
2015/7/6,158.66,237.577,0.2,"499,808","1,613,808","-1,114,000","1,154,520","2,768,328"
2015/7/7,158.51,236.414,0,"407,944","1,756,944","-1,349,000","1,090,800","2,847,744"
2015/7/8,158.35,235.12,3.4,"432,280","1,619,280","-1,187,000","1,030,320","2,649,600"
2015/7/9,158.21,234,41,"910,432","1,620,432","-710,000","1,142,640","2,763,072"
2015/7/10,158.84,239.035,162,"20,854,816","3,837,816","17,017,000","28,727,640","32,565,456"
2015/7/11,160.81,254.976,0.1,"11,628,004","6,638,004","4,990,000","27,810,000","34,448,004"
2015/7/12,160.88,255.492,43.2,"6,087,356","4,441,356","1,646,000","11,613,600","16,054,956"
2015/7/13,161.32,259.124,0.2,"4,550,248","2,155,248","2,395,000","6,080,400","8,235,648"
2015/7/14,161.45,260.23,0,"2,483,692","2,152,692","331,000","4,564,800","6,717,492"
2015/7/15,161.45,260.234,2,"1,956,236","2,122,236","-166,000","3,834,000","5,956,236"
2015/7/16,161.43,260.092,0,"1,374,108","1,539,108","-165,000","3,434,400","4,973,508"
2015/7/17,161.36,259.479,0,"1,132,792","2,124,792","-992,000","2,868,840","4,993,632"
2015/7/18,161.23,258.412,0,"970,008","2,125,008","-1,155,000","2,605,680","4,730,688"
2015/7/19,161.14,257.707,63,"3,529,592","2,126,592","1,403,000","2,537,640","4,664,232"
2015/7/20,161.47,260.406,1.3,"3,693,372","2,121,372","1,572,000","3,091,680","5,213,052"
2015/7/21,161.52,260.786,0.1,"1,951,700","2,117,700","-166,000","2,250,360","4,368,060"
2015/7/22,161.45,260.272,0.2,"1,376,164","2,122,164","-746,000","2,022,840","4,145,004"
2015/7/23,161.37,259.599,20.8,"1,792,136","2,123,136","-331,000","2,493,360","4,616,496"
2015/7/24,161.34,259.355,0.6,"1,629,116","2,125,116","-496,000","2,546,280","4,671,396"
2015/7/25,161.25,258.56,2.3,"1,218,628","2,126,628","-908,000","2,206,080","4,332,708"
2015/7/26,161.13,257.621,1.9,"1,137,160","2,126,160","-989,000","2,204,784","4,330,944"
2015/7/27,161.02,256.684,5.6,"1,224,976","2,129,976","-905,000","2,500,560","4,630,536"
2015/7/28,160.91,255.762,3,"1,226,588","2,130,588","-904,000","2,305,440","4,436,028"
2015/7/29,160.77,254.664,0,"822,764","2,134,764","-1,312,000","2,054,160","4,188,924"
2015/7/30,160.63,253.462,9.5,"1,158,164","2,140,164","-982,000","1,960,560","4,100,724"
2015/7/31,160.47,252.158,0.3,"936,348","3,792,348","-2,856,000","1,893,600","5,685,948"
2015/8/1,160.12,249.283,0,"897,608","3,820,608","-2,923,000","1,652,400","5,473,008"
2015/8/2,159.75,246.302,0,"844,000","3,834,000","-2,990,000","1,552,320","5,386,320"
2015/8/3,159.37,243.25,0,"713,688","3,848,688","-3,135,000","1,468,080","5,316,768"
2015/8/4,158.98,240.153,0,"816,820","3,851,820","-3,035,000","1,379,520","5,231,340"
2015/8/5,158.6,237.1,8.1,"835,064","3,851,064","-3,016,000","1,333,440","5,184,504"
2015/8/6,157.97,232.138,26.5,"1,826,184","6,782,184","-4,956,000","1,341,000","8,123,184"
2015/8/7,157.43,227.885,70.4,"4,597,236","6,856,236","-2,259,000","3,948,480","10,804,716"
2015/8/8,164.77,289.268,299.8,"109,314,144","13,608,144","95,706,000","170,784,000","184,392,144"
2015/8/9,168.42,320.537,19.3,"17,527,412","22,934,412","-5,407,000","27,630,000","50,564,412"
2015/8/10,168.17,318.266,5.6,"6,874,912","7,053,912","-179,000","7,689,600","14,743,512"
2015/8/11,167.93,316.155,1.3,"4,194,960","8,670,960","-4,476,000","4,838,400","13,509,360"
2015/8/12,167.18,309.435,0.4,"2,895,448","10,541,448","-7,646,000","3,924,000","14,465,448"
2015/8/13,166.38,302.412,55.9,"6,035,320","12,559,320","-6,524,000","3,823,200","16,382,520"
2015/8/14,165.63,295.797,21.3,"6,481,832","11,471,832","-4,990,000","4,748,400","16,220,232"
2015/8/15,165.17,291.755,0.4,"4,808,272","9,934,272","-5,126,000","4,327,200","14,261,472"
2015/8/16,164.47,285.77,4.7,"3,221,348","9,678,348","-6,457,000","3,891,600","13,569,948"
2015/8/17,163.7,279.093,4,"2,725,368","9,460,368","-6,735,000","3,715,200","13,175,568"
2015/8/18,162.94,272.724,39.2,"3,979,072","9,216,072","-5,237,000","3,880,800","13,096,872"
2015/8/19,162.4,268.176,0.1,"3,929,532","8,873,532","-4,944,000","5,058,000","13,931,532"
2015/8/20,161.79,263.042,1.6,"2,578,248","7,402,248","-4,824,000","4,402,800","11,805,048"
2015/8/21,161.3,258.953,42.1,"3,798,708","6,609,708","-2,811,000","3,733,200","10,342,908"
2015/8/22,161.33,259.238,59.8,"9,651,340","7,337,340","2,314,000","4,838,400","12,175,740"
2015/8/23,161.86,263.601,92.4,"20,754,404","10,486,404","10,268,000","13,420,800","23,907,204"
2015/8/24,162.74,270.96,3.7,"16,268,420","16,941,420","-673,000","11,818,800","28,760,220"
2015/8/25,162.38,267.949,0.7,"5,995,340","10,433,340","-4,438,000","6,217,200","16,650,540"
2015/8/26,161.7,262.313,9.7,"4,176,500","10,489,500","-6,313,000","5,756,400","16,245,900"
2015/8/27,160.99,256.401,39.4,"5,260,812","9,214,812","-3,954,000","6,595,200","15,810,012"
2015/8/28,160.86,255.328,49.6,"9,186,548","6,634,548","2,552,000","7,444,800","14,079,348"
2015/8/29,161.36,259.5,10.3,"8,750,204","6,600,204","2,150,000","8,420,400","15,020,604"
2015/8/30,161.58,261.318,10.8,"4,520,148","2,696,148","1,824,000","5,630,400","8,326,548"
2015/8/31,161.73,262.577,4.5,"3,495,756","2,664,756","831,000","4,824,000","7,488,756"
2015/9/1,161.8,263.176,38.9,"4,327,368","3,745,368","582,000","3,772,800","7,518,168"
2015/9/2,161.94,264.298,40.1,"10,821,076","6,566,076","4,255,000","6,512,400","13,078,476"
2015/9/3,162.44,268.447,0.4,"7,148,576","5,472,576","1,676,000","6,609,600","12,082,176"
2015/9/4,162.63,270.045,0,"3,483,632","2,644,632","839,000","4,705,200","7,349,832"
2015/9/5,162.65,270.248,0,"2,392,452","2,644,452","-252,000","3,452,400","6,096,852"
2015/9/6,162.59,269.716,40.7,"2,395,440","2,647,440","-252,000","2,779,200","5,426,640"
2015/9/7,163.11,274.103,58.1,"11,502,612","4,239,612","7,263,000","13,831,200","18,070,812"
2015/9/8,163.38,276.44,0.5,"5,377,576","6,480,576","-1,103,000","8,226,000","14,706,576"
2015/9/9,163.11,274.089,0.3,"3,378,504","6,507,504","-3,129,000","5,220,000","11,727,504"
2015/9/10,162.67,270.435,0.1,"2,481,348","6,519,348","-4,038,000","3,430,800","9,950,148"
2015/9/11,162.16,266.157,0,"2,038,632","6,550,632","-4,512,000","2,656,800","9,207,432"
2015/9/12,161.61,261.523,0,"1,859,000","6,588,000","-4,729,000","2,192,400","8,780,400"
2015/9/13,161.27,258.77,9.9,"1,190,024","2,676,024","-1,486,000","1,965,600","4,641,624"
2015/9/14,161.16,257.831,19.4,"1,739,172","1,574,172","165,000","2,232,000","3,806,172"
2015/9/15,161.25,258.566,2.9,"2,646,452","1,573,452","1,073,000","2,257,200","3,830,652"
2015/9/16,161.55,261.081,50.8,"7,732,216","3,753,216","3,979,000","2,559,600","6,312,816"
2015/9/17,161.68,262.155,2.7,"4,507,672","6,582,672","-2,075,000","2,656,800","9,239,472"
2015/9/18,161.59,261.387,0.1,"2,249,296","1,585,296","664,000","2,408,400","3,993,696"
2015/9/19,161.56,261.163,0,"1,648,684","2,394,684","-746,000","2,196,000","4,590,684"
2015/9/20,161.51,260.741,0,"1,238,212","1,570,212","-332,000","1,969,200","3,539,412"
2015/9/21,161.46,260.348,0.2,"1,157,292","1,571,292","-414,000","1,803,600","3,374,892"
2015/9/22,161.4,259.81,2.5,"993,660","1,572,660","-579,000","1,666,800","3,239,460"
2015/9/23,161.29,258.949,0.1,"886,484","1,712,484","-826,000","1,580,400","3,292,884"
2015/9/24,161.22,258.339,10.6,"970,924","1,713,924","-743,000","1,349,280","3,063,204"
2015/9/25,161.08,257.203,0.1,"970,956","3,769,956","-2,799,000","1,108,800","4,878,756"
2015/9/26,160.74,254.361,2.1,"888,224","3,754,224","-2,866,000","991,080","4,745,304"
2015/9/27,160.1,249.136,39.2,"1,934,052","8,435,052","-6,501,000","1,382,400","9,817,452"
2015/9/28,161.2,258.45,366.7,"80,987,536","17,104,536","63,883,000","75,726,000","92,830,536"
2015/9/29,168.59,322.134,24.7,"45,790,904","41,243,904","4,547,000","47,124,000","88,367,904"
2015/9/30,166.44,302.876,5.1,"10,166,280","25,406,280","-15,240,000","12,204,000","37,610,280"
2015/10/1,165.88,297.996,8,"4,596,300","6,351,300","-1,755,000","6,966,000","13,317,300"
2015/10/2,165.7,296.397,10.5,"4,612,064","6,362,064","-1,750,000","7,455,600","13,817,664"
2015/10/3,165.45,294.232,0.4,"3,835,008","6,364,008","-2,529,000","6,001,200","12,365,208"
2015/10/4,165.12,291.324,3.1,"3,173,832","6,386,832","-3,213,000","4,183,200","10,570,032"
2015/10/5,164.7,287.669,5,"2,439,708","6,411,708","-3,972,000","3,020,400","9,432,108"
2015/10/6,164.23,283.631,0.4,"2,316,648","6,435,648","-4,119,000","2,635,200","9,070,848"
2015/10/7,163.95,281.3,0.1,"1,430,740","2,626,740","-1,196,000","2,404,800","5,031,540"
2015/10/8,163.81,280.111,31.1,"1,677,660","2,616,660","-939,000","2,152,800","4,769,460"
2015/10/9,164.29,284.199,81.1,"12,656,304","2,603,304","10,053,000","8,254,800","10,858,104"
2015/10/10,165.23,292.265,1.3,"6,412,164","2,590,164","3,822,000","7,477,200","10,067,364"
2015/10/11,165.48,294.497,7.9,"3,349,192","1,518,192","1,831,000","5,738,400","7,256,592"
2015/10/12,165.62,295.686,0.2,"2,302,816","1,515,816","787,000","4,244,400","5,760,216"
2015/10/13,165.67,296.124,0,"1,689,448","1,514,448","175,000","3,020,400","4,534,848"
2015/10/14,165.67,296.167,0,"1,425,900","1,512,900","-87,000","2,570,400","4,083,300"
2015/10/15,165.65,295.941,0.1,"1,165,016","1,514,016","-349,000","2,048,400","3,562,416"
2015/10/16,165.6,295.526,0,"1,179,372","2,751,372","-1,572,000","1,814,400","4,565,772"
2015/10/17,165.15,291.621,0,"1,518,420","6,384,420","-4,866,000","1,753,200","8,137,620"
2015/10/18,164.58,286.703,17.1,"1,499,264","6,414,264","-4,915,000","1,756,800","8,171,064"
2015/10/19,164.05,282.12,9.3,"2,162,568","6,443,568","-4,281,000","2,365,200","8,808,768"
2015/10/20,163.59,278.233,17.2,"2,639,288","6,129,288","-3,490,000","2,545,200","8,674,488"
2015/10/21,163.19,274.777,14.2,"3,192,832","6,494,832","-3,302,000","2,512,800","9,007,632"
2015/10/22,163.11,274.127,28.2,"3,425,092","1,564,092","1,861,000","3,121,200","4,685,292"
2015/10/23,163.4,276.606,20.8,"4,346,904","1,544,904","2,802,000","4,766,400","6,311,304"
2015/10/24,163.81,280.101,20.9,"5,804,488","1,537,488","4,267,000","6,285,600","7,823,088"
2015/10/25,164.23,283.687,0.5,"3,932,468","1,530,468","2,402,000","4,784,400","6,314,868"
2015/10/26,164.42,285.255,0.1,"2,477,404","1,531,404","946,000","3,250,800","4,782,204"
2015/10/27,164.48,285.807,0.1,"1,783,536","1,525,536","258,000","2,689,200","4,214,736"
2015/10/28,164.49,285.861,4.4,"1,440,400","1,526,400","-86,000","2,250,000","3,776,400"
2015/10/29,164.44,285.434,7.8,"1,575,636","2,091,636","-516,000","1,998,000","4,089,636"
2015/10/30,164.39,285.054,4.1,"1,097,120","1,527,120","-430,000","1,900,800","3,427,920"
2015/10/31,164.37,284.832,14.3,"1,359,836","1,531,836","-172,000","1,900,800","3,432,636"
2015/11/1,164.39,285.065,5.3,"1,874,396","1,530,396","344,000","2,739,600","4,269,996"
2015/11/2,164.45,285.517,12.2,"1,873,640","1,529,640","344,000","2,894,400","4,424,040"
2015/11/3,164.57,286.619,39.2,"4,112,004","1,526,004","2,586,000","4,269,600","5,795,604"
2015/11/4,165.53,294.917,56.4,"14,672,960","2,028,960","12,644,000","7,941,600","9,970,560"
2015/11/5,166.16,300.415,6.9,"5,449,440","6,328,440","-879,000","5,752,800","12,081,240"
2015/11/6,166.22,300.939,3.5,"3,007,404","1,513,404","1,494,000","4,860,000","6,373,404"
2015/11/7,166.29,301.625,0,"2,211,996","1,506,996","705,000","4,615,200","6,122,196"
2015/11/8,166.34,301.992,0.3,"1,594,888","1,506,888","88,000","4,233,600","5,740,488"
2015/11/9,166.33,301.948,5.2,"1,391,008","1,567,008","-176,000","3,700,800","5,267,808"
2015/11/10,166.31,301.735,6.2,"1,426,288","1,602,288","-176,000","3,978,000","5,580,288"
2015/11/11,166.27,301.449,11.7,"1,635,536","2,164,536","-529,000","3,952,800","6,117,336"
2015/11/12,166.22,300.968,4.6,"1,727,776","2,167,776","-440,000","3,301,200","5,468,976"
2015/11/13,166.18,300.598,0.6,"1,816,596","2,167,596","-351,000","2,538,000","4,705,596"
